SHEDID,RTSHEDID
1,1
1,76
1,9
1,43
1,31
1,51
1,22
1,20
1,8
1,306
1,315
1,132
1,37
1,22
1,47
1,133
1,142
1,76
5,53
5,6
5,53
5,56
5,8
5,8
5,56
5,42
5,42
5,42
5,43
5,43
5,58
5,169
5,169
5,39
5,44
5,322
5,9
5,76
5,5
5,8
5,43
5,57
5,44
5,56
5,10
5,136
5,16
5,322
5,6
5,6
5,186
5,310
5,186
5,70
5,5
5,319
5,315
5,70
5,15
5,5
5,319
5,186
5,9
5,9
5,162
5,56
5,67
5,136
6,6
6,55
6,169
6,6
6,6
6,39
6,39
6,40
6,9
6,40
6,135
6,36
6,135
6,170
6,169
6,135
6,39
6,172
6,172
6,170
6,170
6,136
6,136
6,60
6,270
6,270
6,6
6,136
6,186
6,149
6,71
6,126
6,190
6,269
6,160
6,120
6,1
6,149
6,183
6,173
6,173
6,6
6,169
6,55
7,7
7,56
7,56
7,5
7,53
7,53
7,53
7,53
7,42
7,42
7,42
7,42
7,42
7,39
7,42
7,39
7,53
7,17
7,43
7,39
7,53
7,42
7,18
7,43
7,39
7,81
7,308
7,51
7,42
7,170
7,27
7,68
7,134
7,168
7,83
7,159
7,170
7,175
7,182
7,55
7,67
7,15
7,64
7,161
8,8
8,8
8,8
8,8
8,58
8,58
8,9
8,16
8,42
8,76
8,39
8,7
8,43
8,41
8,19
8,51
8,51
8,43
8,41
8,19
8,51
8,51
8,38
8,169
8,169
8,16
8,16
8,8
8,8
8,51
8,38
8,50
8,10
8,135
8,81
8,83
8,57
8,16
8,16
8,122
8,135
8,170
8,60
8,185
8,38
8,169
8,170
8,170
8,185
8,185
8,185
8,8
8,8
8,68
8,40
8,8
8,178
8,8
8,191
8,178
8,29
8,35
8,8
8,8
8,157
8,8
8,73
8,186
8,8
8,187
8,8
8,55
8,8
9,9
9,9
9,58
9,9
9,50
9,50
9,50
9,9
9,5
9,40
9,42
9,7
9,7
9,66
9,44
9,51
9,43
9,311
9,40
9,55
9,51
9,51
9,41
9,41
9,42
9,42
9,7
9,6
9,6
9,51
9,43
9,309
9,54
9,88
9,7
9,43
9,43
9,306
9,16
9,21
9,54
9,16
9,88
9,76
9,74
9,88
9,30
9,20
9,67
9,310
9,15
9,86
9,67
9,74
9,301
9,69
9,5
9,56
9,37
9,71
9,306
9,69
9,45
9,15
9,301
9,135
9,54
9,143
9,9
9,184
9,56
9,145
9,21
9,189
9,184
9,135
9,135
9,9
9,81
9,16
9,9
9,9
9,42
9,191
9,9
9,44
9,76
9,76
10,10
10,10
10,66
10,60
10,88
10,76
10,9
10,76
10,319
10,76
10,69
10,21
10,70
10,70
10,62
10,55
10,301
10,56
10,68
10,305
10,300
10,10
10,8
10,60
10,309
10,42
10,10
10,186
10,187
10,305
10,178
10,132
10,10
10,10
10,150
10,48
12,70
12,70
12,73
12,10
12,66
12,65
12,65
12,73
12,51
12,67
12,67
12,70
12,9
12,76
12,37
12,15
12,43
12,169
12,53
12,12
12,322
12,66
12,12
12,12
14,78
14,78
14,15
14,15
14,74
14,74
14,15
14,15
14,73
14,14
14,78
14,77
14,77
14,15
14,74
14,75
14,47
14,47
14,15
14,88
14,69
14,48
14,66
14,15
14,68
14,14
14,66
14,66
14,85
14,85
14,9
14,46
14,46
14,76
14,66
14,67
14,14
14,53
14,169
14,15
14,20
14,6
14,47
14,101
14,313
14,169
14,14
14,14
14,101
14,260
14,14
15,15
15,14
15,14
15,14
15,14
15,78
15,78
15,78
15,78
15,14
15,73
15,14
15,74
15,75
15,47
15,77
15,75
15,73
15,74
15,75
15,80
15,75
15,23
15,80
15,75
15,26
15,47
15,47
15,23
15,66
15,71
15,68
15,68
15,302
15,41
15,71
15,71
15,71
15,9
15,48
15,63
15,73
15,73
15,10
15,67
15,41
15,62
15,77
15,41
15,46
15,67
15,46
15,20
15,302
15,135
15,55
15,15
15,15
15,169
16,16
16,16
16,16
16,17
16,42
16,43
16,54
16,17
16,17
16,17
16,54
16,122
16,17
16,158
16,16
16,16
16,43
16,16
16,55
16,44
16,56
16,8
16,17
16,19
16,19
16,169
16,8
16,8
16,27
16,6
16,19
16,169
16,8
16,8
16,169
16,53
16,158
16,51
16,39
16,185
16,39
16,36
16,66
16,132
16,41
16,127
16,62
16,62
16,263
16,305
16,155
16,266
16,181
16,173
16,319
16,187
16,162
16,221
16,170
16,57
16,43
17,16
17,17
17,16
17,16
17,42
17,42
17,58
17,16
17,7
17,58
17,54
17,16
17,16
17,42
17,17
17,58
17,58
17,16
17,122
17,158
17,42
17,58
17,88
17,66
17,55
17,66
17,133
17,41
17,67
17,50
17,180
17,101
17,17
17,185
17,121
17,186
17,313
17,186
17,181
17,17
17,17
17,121
17,141
17,7
17,143
17,17
17,42
17,17
17,17
17,222
17,17
17,53
17,45
17,17
18,57
18,1
18,1
18,1
18,19
18,43
18,16
18,19
18,43
18,20
18,42
18,20
18,68
18,8
18,68
18,67
18,42
18,14
18,17
19,20
19,20
19,1
19,18
19,44
19,51
19,57
19,76
19,62
19,66
19,21
19,44
19,65
19,76
19,60
19,16
19,76
19,10
19,43
19,309
19,68
19,68
19,68
19,16
19,41
19,22
19,77
19,23
19,77
19,122
19,131
19,169
19,162
19,19
19,187
19,20
19,19
19,270
20,1
20,21
20,1
20,62
20,88
20,65
20,20
20,50
20,50
20,68
20,65
20,17
20,76
20,17
20,46
20,58
20,88
20,67
20,88
20,51
20,20
20,73
20,86
20,43
20,43
20,76
20,57
20,16
20,65
20,20
20,29
20,319
20,15
20,53
20,78
20,66
20,6
20,6
20,134
20,133
20,159
20,160
20,68
20,159
20,159
20,135
20,20
20,187
20,169
20,128
21,20
21,18
21,73
21,70
21,76
21,17
21,16
21,105
21,105
21,47
21,86
21,86
21,76
21,34
21,155
21,211
21,270
21,76
22,12
22,48
22,1
22,25
22,22
22,48
22,48
22,66
22,1
22,22
22,22
22,15
22,130
22,65
22,22
22,22
22,26
22,48
23,48
23,47
23,47
23,47
23,25
23,25
23,15
23,74
23,78
23,48
23,69
23,42
23,55
23,169
23,16
23,16
23,62
25,77
25,15
25,15
25,16
25,25
26,26
26,26
26,15
27,27
27,27
27,132
27,27
27,142
27,159
27,168
27,101
27,16
27,141
27,159
27,142
27,183
27,7
27,56
27,62
27,179
27,186
27,320
27,185
27,162
27,320
27,51
27,31
27,27
27,27
27,46
27,27
27,36
27,76
27,306
27,27
28,28
28,31
28,132
28,131
28,31
28,17
28,169
28,45
28,45
28,35
28,62
28,170
28,153
28,197
29,29
29,43
29,57
29,17
29,140
29,132
29,141
29,140
29,140
29,140
29,140
29,20
29,256
29,159
29,252
29,194
30,86
30,130
30,20
30,128
30,30
