source,target,weight
1,1,217
1,76,72
1,9,155
1,43,113
1,31,9
1,51,136
1,22,52
1,20,330
1,8,136
1,306,30
1,315,26
1,132,11
1,37,79
1,47,8
1,133,5
1,142,9
5,53,201
5,6,33
5,56,154
5,8,306
5,42,77
5,43,68
5,58,89
5,169,180
5,39,278
5,44,111
5,322,46
5,9,331
5,76,68
5,5,203
5,57,91
5,10,96
5,136,114
5,16,117
5,186,79
5,310,59
5,70,27
5,319,12
5,315,22
5,15,13
5,162,9
5,67,56
6,6,253
6,55,91
6,169,176
6,39,229
6,40,68
6,9,196
6,135,119
6,36,63
6,170,106
6,172,73
6,136,118
6,60,24
6,270,77
6,186,131
6,149,37
6,71,19
6,126,10
6,190,98
6,269,11
6,160,6
6,120,4
6,1,48
6,183,17
6,173,121
7,7,94
7,56,164
7,5,303
7,53,391
7,42,105
7,39,412
7,17,135
7,43,150
7,18,10
7,81,34
7,308,60
7,51,27
7,170,71
7,27,12
7,68,7
7,134,70
7,168,7
7,83,1
7,159,13
7,175,47
7,182,18
7,55,30
7,67,20
7,15,17
7,64,2
7,161,16
8,8,553
8,58,91
8,9,393
8,16,557
8,42,264
8,76,124
8,39,314
8,7,80
8,43,52
8,41,346
8,19,89
8,51,212
8,38,112
8,169,228
8,50,88
8,10,59
8,135,102
8,81,208
8,83,8
8,57,86
8,122,6
8,170,97
8,60,73
8,185,59
8,68,22
8,40,188
8,178,19
8,191,25
8,29,13
8,35,4
8,157,9
8,73,41
8,186,124
8,187,30
8,55,138
9,9,338
9,58,205
9,50,360
9,40,156
9,42,116
9,7,148
9,66,167
9,44,83
9,51,159
9,43,97
9,311,128
9,55,92
9,41,262
9,309,28
9,54,77
9,88,197
9,306,74
9,16,172
9,21,36
9,76,87
9,74,76
9,30,24
9,20,108
9,67,84
9,310,114
9,15,82
9,86,26
9,301,56
9,69,41
9,56,254
9,37,156
9,71,87
9,45,38
9,135,46
9,143,21
9,184,21
9,145,1
9,189,3
9,81,65
9,191,9
10,10,251
10,66,70
10,60,179
10,88,73
10,76,131
10,9,168
10,319,73
10,69,36
10,21,18
10,70,71
10,62,42
10,55,27
10,301,20
10,56,56
10,68,113
10,305,163
10,300,14
10,309,64
10,42,26
10,186,23
10,187,5
10,178,11
10,132,2
10,150,4
10,48,19
12,70,846
12,73,80
12,10,123
12,66,28
12,65,34
12,51,54
12,67,113
12,9,39
12,76,25
12,37,18
12,15,121
12,43,11
12,169,72
12,53,2
12,12,70
12,322,5
14,78,218
14,15,383
14,74,172
14,73,126
14,14,187
14,77,78
14,75,154
14,47,169
14,88,75
14,69,76
14,48,13
14,66,270
14,68,96
14,85,221
14,9,52
14,46,27
14,76,67
14,67,83
14,53,4
14,169,44
14,20,10
14,6,8
14,101,7
14,313,3
14,260,1
15,15,138
15,78,370
15,73,262
15,74,271
15,75,385
15,47,206
15,77,158
15,80,57
15,23,99
15,26,58
15,66,86
15,71,107
15,68,100
15,302,43
15,41,17
15,48,125
15,63,19
15,10,46
15,67,168
15,62,23
15,46,130
15,20,25
15,135,8
15,55,27
15,169,17
16,16,117
16,17,279
16,42,35
16,43,84
16,54,36
16,122,155
16,158,109
16,55,143
16,44,231
16,56,219
16,19,129
16,169,99
16,27,78
16,6,45
16,53,97
16,51,28
16,39,154
16,185,12
16,36,52
16,66,6
16,132,31
16,41,223
16,127,20
16,62,53
16,263,39
16,305,66
16,155,30
16,266,4
16,181,15
16,173,21
16,319,3
16,187,9
16,162,9
16,221,8
16,170,88
16,57,112
17,17,332
17,42,138
17,58,1687
17,54,49
17,122,138
17,158,60
17,88,20
17,66,98
17,55,46
17,133,18
17,41,21
17,67,60
17,50,137
17,180,10
17,101,52
17,185,32
17,121,49
17,186,40
17,313,20
17,181,9
17,141,14
17,143,17
17,222,7
17,53,143
17,45,48
18,57,32
18,1,188
18,19,330
18,43,43
18,16,128
18,20,146
18,42,55
18,68,24
18,8,26
18,67,63
18,14,1
18,17,42
19,20,128
19,1,191
19,44,121
19,51,130
19,57,98
19,76,85
19,62,121
19,66,87
19,21,68
19,65,94
19,60,55
19,10,28
19,43,118
19,309,12
19,68,65
19,41,36
19,22,73
19,77,64
19,23,24
19,122,25
19,131,11
19,169,66
19,162,23
19,19,205
19,187,4
19,270,23
20,21,205
20,62,142
20,88,70
20,65,172
20,20,224
20,50,215
20,68,78
20,17,101
20,76,140
20,46,50
20,58,55
20,67,288
20,51,74
20,73,117
20,86,35
20,43,60
20,57,43
20,16,142
20,29,22
20,319,52
20,53,27
20,78,54
20,66,74
20,6,15
20,134,31
20,133,6
20,159,38
20,160,22
20,135,54
20,187,5
20,169,40
20,128,4
21,18,82
21,73,22
21,70,6
21,76,34
21,17,54
21,16,54
21,105,31
21,47,81
21,86,13
21,34,5
21,155,10
21,211,2
21,270,5
22,12,22
22,48,73
22,25,36
22,22,102
22,66,39
22,15,49
22,130,1
22,65,4
22,26,5
23,48,104
23,47,201
23,25,26
23,74,47
23,78,14
23,69,26
23,42,2
23,55,17
23,169,2
23,16,5
23,62,75
25,77,47
25,15,86
25,16,5
25,25,44
26,26,27
27,27,276
27,132,96
27,142,61
27,159,119
27,168,75
27,101,34
27,141,40
27,183,34
27,56,39
27,62,55
27,179,21
27,186,17
27,320,9
27,185,34
27,162,10
27,51,5
27,31,19
27,46,12
27,36,4
27,76,3
27,306,29
28,28,29
28,31,5
28,132,42
28,131,61
28,17,46
28,169,33
28,45,98
28,35,56
28,62,31
28,170,15
28,153,16
28,197,10
29,29,35
29,43,10
29,57,26
29,17,25
29,140,13
29,132,17
29,141,12
29,256,4
29,159,8
29,252,9
29,194,6
30,86,14
30,130,6
30,20,6
30,128,80
30,30,224
30,194,25
30,67,11
30,265,1
30,159,32
31,132,11
31,101,1
31,42,8
31,142,7
31,187,2
31,31,80
31,136,5
34,130,18
34,127,184
34,126,290
34,132,19
34,54,34
34,34,248
34,125,25
34,124,23
34,182,48
34,62,60
34,170,15
34,56,14
34,169,22
34,16,56
34,172,24
34,322,9
34,256,19
34,275,7
34,181,20
34,30,28
34,71,5
35,35,101
35,130,14
35,223,89
35,201,13
35,18,31
35,179,4
35,101,162
35,221,16
36,36,204
36,39,179
36,53,119
36,56,107
36,319,189
36,177,15
36,42,78
36,57,42
36,310,66
36,322,46
36,301,26
36,190,10
36,169,32
36,44,4
36,43,13
36,189,9
36,54,41
36,187,43
36,172,39
36,300,11
36,134,11
36,156,13
36,302,19
36,186,60
36,155,17
36,321,11
37,41,102
37,315,98
37,40,49
37,305,128
37,310,149
37,303,99
37,71,245
37,51,18
37,80,13
37,88,9
37,53,30
37,21,17
37,86,16
37,57,6
37,169,14
37,8,18
37,37,141
38,38,182
38,138,42
38,172,37
38,169,93
38,136,132
38,40,83
38,187,136
38,9,29
38,53,82
38,319,8
38,19,16
38,185,46
38,71,13
38,156,17
39,39,447
39,41,293
39,40,100
39,81,67
39,42,355
39,37,40
39,169,187
39,322,88
39,50,153
39,136,144
39,29,23
39,186,77
39,60,65
39,191,68
39,57,19
39,10,22
39,135,142
39,17,52
39,187,88
39,188,58
39,70,38
39,101,60
39,14,9
39,51,51
39,173,5
39,149,13
39,162,3
39,138,130
39,53,324
40,40,198
40,41,127
40,58,155
40,76,93
40,55,50
40,42,35
40,57,91
40,43,8
40,51,24
40,190,30
40,101,22
40,313,7
40,44,21
40,136,20
40,168,1
40,149,6
41,41,360
41,81,126
41,56,197
41,306,110
41,303,204
41,76,90
41,308,12
41,60,198
41,51,67
41,43,35
41,311,140
41,10,54
41,36,51
41,319,47
41,83,25
41,66,116
41,42,70
41,172,196
41,50,217
41,169,282
41,55,95
41,178,37
41,69,72
41,136,44
41,44,79
41,134,11
41,130,1
41,191,8
41,309,19
41,155,7
41,168,16
42,42,181
42,55,187
42,44,283
42,54,42
42,322,245
42,53,375
42,6,87
42,56,122
42,57,62
42,134,22
42,58,129
42,169,288
42,122,41
42,27,34
42,168,83
42,172,43
42,135,164
42,180,33
42,159,42
42,37,12
42,68,50
42,313,98
42,184,44
42,186,56
42,311,4
42,142,19
42,182,43
42,21,13
42,314,105
42,161,33
42,29,16
42,128,22
42,320,23
42,28,21
42,191,35
42,88,21
42,269,16
42,183,70
42,165,65
42,140,22
42,136,71
42,197,116
42,62,30
42,223,12
42,266,2
42,152,5
42,47,7
42,73,12
42,305,8
42,188,17
43,43,205
43,17,14
43,42,161
43,44,183
43,58,447
43,55,105
43,56,144
43,122,33
43,50,156
43,169,101
43,322,95
43,172,69
43,51,74
43,65,20
43,135,101
43,67,56
43,170,43
43,160,69
43,182,11
43,132,8
43,269,17
43,185,81
43,123,41
43,187,21
44,44,260
44,58,421
44,8,130
44,55,132
44,51,108
44,66,111
44,65,74
44,67,56
44,169,144
44,322,184
44,74,7
44,136,61
44,62,26
44,170,80
44,68,21
44,168,31
44,133,25
44,194,22
44,185,76
44,269,31
44,186,21
45,54,48
45,66,32
45,62,70
45,170,17
45,125,8
45,160,16
45,136,11
45,182,66
45,186,11
45,45,131
45,263,34
45,42,72
46,46,304
46,67,141
46,12,19
46,62,174
46,64,157
46,47,177
46,69,4
46,60,20
46,71,9
46,37,10
46,21,57
46,18,30
46,29,5
46,129,3
46,144,7
46,30,6
47,47,198
47,48,161
47,73,55
47,67,112
47,74,51
47,66,43
47,76,13
47,78,52
47,16,10
47,75,303
47,69,29
48,48,374
48,46,107
48,77,51
48,62,84
48,20,60
48,86,112
48,63,33
48,19,62
48,75,60
48,51,9
48,17,10
48,66,41
48,132,2
48,133,13
48,150,4
48,126,68
48,263,1
50,51,186
50,1,74
50,65,139
50,64,10
50,40,57
50,16,82
50,7,46
50,169,43
50,322,86
50,10,103
50,76,184
51,51,126
51,66,50
51,76,110
51,64,27
51,58,118
51,309,24
51,55,43
51,319,45
51,17,71
51,67,165
51,68,129
51,56,42
51,10,30
51,169,43
51,42,70
51,57,27
51,172,10
51,71,27
51,184,4
51,135,49
51,301,81
51,177,11
51,194,11
51,143,1
53,53,498
53,6,154
53,8,256
53,55,81
53,169,215
53,135,317
53,308,14
53,10,45
53,76,64
53,43,62
53,178,38
53,177,79
53,186,167
53,88,13
53,40,70
53,269,34
53,51,23
53,156,33
53,270,30
53,101,36
53,301,5
53,320,32
53,194,5
53,187,30
53,157,14
54,55,58
54,44,24
54,56,66
54,38,22
54,322,57
54,158,33
54,132,36
54,140,13
54,308,4
54,142,32
54,182,27
54,315,14
54,314,43
54,196,1
54,180,102
54,191,7
54,53,23
55,55,178
55,56,119
55,5,43
55,58,62
55,76,53
55,27,10
55,172,31
55,20,42
55,306,13
55,136,34
55,178,18
55,310,30
55,145,5
55,314,12
55,161,60
55,34,22
55,153,4
55,162,11
56,8,294
56,38,97
56,169,146
56,37,35
56,39,224
56,88,32
56,135,48
56,158,9
56,186,67
56,170,49
56,270,17
56,56,215
56,76,84
56,50,129
56,62,7
56,315,47
56,35,12
56,178,30
56,168,13
56,133,30
56,188,36
56,81,109
56,162,9
56,71,36
57,57,113
57,58,335
57,17,91
57,76,30
57,55,47
57,30,96
57,71,29
57,75,10
57,187,33
57,186,18
57,86,8
58,76,36
58,6,130
58,16,173
58,306,17
58,54,78
58,58,251
58,41,651
58,10,46
58,36,101
58,39,134
58,67,89
58,69,4
58,34,48
58,178,10
58,149,85
58,162,7
58,155,5
58,180,5
58,81,136
58,169,52
58,165,23
58,136,13
58,168,38
60,305,158
60,306,438
60,51,79
60,319,355
60,37,152
60,88,70
60,69,240
60,9,128
60,76,83
60,63,97
60,70,186
60,68,100
60,74,39
60,42,21
60,80,65
60,301,112
60,122,13
60,169,37
60,16,35
60,67,23
60,302,38
60,17,23
60,81,11
60,5,69
60,269,7
60,71,123
62,62,179
62,1,80
62,57,21
62,58,26
62,73,9
62,76,21
62,101,9
62,7,8
62,130,4
62,41,9
62,168,3
62,194,5
63,63,90
63,73,34
63,67,74
63,68,71
63,10,118
63,8,52
63,158,13
63,169,17
63,77,8
63,140,1
63,320,1
64,68,28
64,77,12
64,16,5
64,76,41
64,88,14
65,65,113
65,88,34
65,76,34
65,10,121
65,70,1002
65,74,27
65,310,58
65,9,80
65,6,7
65,42,34
65,180,1
66,303,150
66,88,219
66,309,295
66,60,169
66,305,485
66,310,192
66,70,283
66,74,364
66,319,270
66,68,83
66,301,189
66,73,101
66,71,149
66,1,64
66,81,13
66,66,189
66,313,11
66,302,95
66,306,174
67,67,376
67,68,198
67,21,125
67,22,40
67,48,132
67,65,79
67,69,16
67,16,134
67,122,13
67,302,9
67,55,32
67,88,117
67,172,21
67,322,44
67,135,53
67,321,24
67,191,33
67,23,85
68,21,15
68,88,37
68,65,32
68,70,94
68,9,59
68,17,17
68,29,7
68,68,174
68,269,1
69,69,174
69,74,180
69,309,99
69,88,79
69,12,206
69,40,13
69,51,17
69,70,80
69,301,6
69,6,4
70,70,254
70,74,175
70,311,168
70,309,33
70,306,23
70,67,37
70,20,17
70,15,189
70,51,86
70,50,124
70,56,37
70,44,47
